2018-12-12 03:57:37.376712: 18.90 F, 42.30 Humidity, 366 Light
2018-12-12 03:59:14.066658: 19.00 F, 42.30 Humidity, 367 Light
2018-12-12 03:59:15.075364: 19.00 F, 42.30 Humidity, 362 Light
2018-12-12 03:59:16.084458: 19.10 F, 42.40 Humidity, 351 Light
2018-12-12 03:59:17.094466: 19.00 F, 42.20 Humidity, 351 Light
2018-12-12 03:59:19.604104: 19.00 F, 42.30 Humidity, 362 Light
2018-12-12 03:59:22.112360: 19.00 F, 42.20 Humidity, 370 Light
2018-12-12 03:59:24.623270: 19.00 F, 42.30 Humidity, 358 Light
2018-12-12 03:59:26.010398: 18.90 F, 42.20 Humidity, 349 Light
2018-12-12 03:59:28.520382: 19.00 F, 42.30 Humidity, 354 Light
2018-12-12 03:59:31.031656: 19.00 F, 42.30 Humidity, 365 Light
2018-12-12 03:59:33.541646: 19.00 F, 42.30 Humidity, 368 Light
2018-12-12 03:59:36.049957: 19.00 F, 42.20 Humidity, 357 Light
2018-12-12 03:59:37.393173: 19.00 F, 42.20 Humidity, 348 Light
2018-12-12 03:59:39.903147: 19.10 F, 42.30 Humidity, 353 Light
2018-12-12 03:59:42.413631: 19.00 F, 42.20 Humidity, 362 Light
2018-12-12 03:59:44.925314: 19.00 F, 42.20 Humidity, 367 Light
2018-12-12 03:59:47.437375: 19.00 F, 42.20 Humidity, 361 Light
2018-12-12 03:59:48.775233: 19.00 F, 42.20 Humidity, 355 Light
2018-12-12 03:59:51.286252: 19.10 F, 42.30 Humidity, 351 Light
2018-12-12 03:59:53.796256: 19.00 F, 42.10 Humidity, 355 Light
2018-12-12 03:59:56.307394: 19.10 F, 42.20 Humidity, 365 Light
2018-12-12 03:59:58.819340: 19.00 F, 42.20 Humidity, 364 Light
2018-12-12 04:00:00.154944: 19.00 F, 42.30 Humidity, 350 Light
2018-12-12 04:00:02.666540: 19.00 F, 42.30 Humidity, 348 Light
2018-12-12 04:00:05.175949: 19.10 F, 42.40 Humidity, 357 Light
2018-12-12 04:00:07.689489: 19.00 F, 42.40 Humidity, 368 Light
2018-12-12 04:00:10.201803: 19.00 F, 42.30 Humidity, 360 Light
2018-12-12 04:00:11.536895: 18.90 F, 42.20 Humidity, 352 Light
2018-12-12 04:00:14.050370: 19.00 F, 42.30 Humidity, 365 Light
2018-12-12 04:00:16.563212: 19.10 F, 42.40 Humidity, 372 Light
2018-12-12 04:00:19.073659: 19.10 F, 42.40 Humidity, 355 Light
2018-12-12 04:00:21.586623: 19.10 F, 42.30 Humidity, 355 Light
2018-12-12 04:00:22.919435: 19.10 F, 42.40 Humidity, 369 Light
2018-12-12 04:00:25.432815: 19.10 F, 42.30 Humidity, 360 Light
2018-12-12 04:00:27.945144: 19.00 F, 42.30 Humidity, 349 Light
2018-12-12 04:00:30.457396: 19.00 F, 42.30 Humidity, 363 Light
2018-12-12 04:00:32.968805: 19.10 F, 42.40 Humidity, 366 Light
2018-12-12 04:00:34.301701: 19.10 F, 42.30 Humidity, 349 Light
2018-12-12 04:00:36.812270: 19.00 F, 42.30 Humidity, 356 Light
2018-12-12 04:00:39.326378: 19.10 F, 42.30 Humidity, 369 Light
2018-12-12 04:00:41.837652: 19.10 F, 42.30 Humidity, 353 Light
2018-12-12 04:00:44.347820: 19.10 F, 42.30 Humidity, 355 Light
2018-12-12 04:00:45.680996: 19.10 F, 42.30 Humidity, 370 Light
2018-12-12 04:00:48.193304: 19.10 F, 42.30 Humidity, 349 Light
2018-12-12 04:00:50.704232: 19.10 F, 42.30 Humidity, 356 Light
2018-12-12 04:00:53.215540: 19.10 F, 42.30 Humidity, 370 Light
2018-12-12 04:00:55.727913: 19.10 F, 42.30 Humidity, 353 Light
2018-12-12 04:00:57.062241: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:00:59.573988: 19.10 F, 42.30 Humidity, 369 Light
2018-12-12 04:01:02.085927: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:01:04.597743: 19.10 F, 42.20 Humidity, 346 Light
2018-12-12 04:01:07.110515: 19.10 F, 42.20 Humidity, 361 Light
2018-12-12 04:01:08.444640: 19.10 F, 42.20 Humidity, 371 Light
2018-12-12 04:01:10.957635: 19.00 F, 42.00 Humidity, 358 Light
2018-12-12 04:01:13.467974: 19.10 F, 42.10 Humidity, 351 Light
2018-12-12 04:01:15.978796: 19.10 F, 42.10 Humidity, 360 Light
2018-12-12 04:01:18.489435: 19.10 F, 42.10 Humidity, 371 Light
2018-12-12 04:01:19.826215: 19.10 F, 42.10 Humidity, 361 Light
2018-12-12 04:01:22.337566: 19.00 F, 42.00 Humidity, 353 Light
2018-12-12 04:01:24.847680: 19.10 F, 42.10 Humidity, 359 Light
2018-12-12 04:01:27.358619: 19.10 F, 42.10 Humidity, 368 Light
2018-12-12 04:01:29.870645: 19.10 F, 42.00 Humidity, 365 Light
2018-12-12 04:01:31.208590: 19.10 F, 42.00 Humidity, 354 Light
2018-12-12 04:01:33.719498: 19.10 F, 42.00 Humidity, 353 Light
2018-12-12 04:01:36.231318: 19.10 F, 42.00 Humidity, 359 Light
2018-12-12 04:01:38.743629: 19.20 F, 42.10 Humidity, 369 Light
2018-12-12 04:01:41.256444: 19.10 F, 42.00 Humidity, 370 Light
2018-12-12 04:01:42.588647: 19.10 F, 42.00 Humidity, 358 Light
2018-12-12 04:01:45.101358: 19.10 F, 42.00 Humidity, 352 Light
2018-12-12 04:01:47.613867: 19.10 F, 42.00 Humidity, 355 Light
2018-12-12 04:01:50.125172: 19.10 F, 42.00 Humidity, 365 Light
2018-12-12 04:01:52.637255: 19.10 F, 42.00 Humidity, 367 Light
2018-12-12 04:01:53.968655: 19.10 F, 42.00 Humidity, 374 Light
2018-12-12 04:01:56.480586: 19.00 F, 41.90 Humidity, 369 Light
2018-12-12 04:01:58.993431: 19.10 F, 42.00 Humidity, 363 Light
2018-12-12 04:02:01.504363: 19.10 F, 42.00 Humidity, 356 Light
2018-12-12 04:02:04.015965: 19.10 F, 42.00 Humidity, 352 Light
2018-12-12 04:02:05.348646: 19.00 F, 41.90 Humidity, 352 Light
2018-12-12 04:02:07.858702: 19.10 F, 42.00 Humidity, 356 Light
2018-12-12 04:02:10.368542: 19.10 F, 41.90 Humidity, 359 Light
2018-12-12 04:02:12.881752: 19.10 F, 41.90 Humidity, 360 Light
2018-12-12 04:02:15.392659: 19.20 F, 42.10 Humidity, 365 Light
2018-12-12 04:02:16.730666: 19.10 F, 41.90 Humidity, 369 Light
2018-12-12 04:02:19.245420: 19.10 F, 41.90 Humidity, 371 Light
2018-12-12 04:02:21.757006: 19.10 F, 42.00 Humidity, 371 Light
2018-12-12 04:02:24.267060: 19.10 F, 41.90 Humidity, 370 Light
2018-12-12 04:02:26.779550: 19.10 F, 41.90 Humidity, 368 Light
2018-12-12 04:02:28.112918: 19.10 F, 41.90 Humidity, 367 Light
2018-12-12 04:02:30.625321: 19.20 F, 42.00 Humidity, 362 Light
2018-12-12 04:02:33.138279: 19.10 F, 41.90 Humidity, 361 Light
2018-12-12 04:02:35.648641: 19.10 F, 41.80 Humidity, 357 Light
2018-12-12 04:02:38.160635: 19.10 F, 41.80 Humidity, 353 Light
2018-12-12 04:02:39.494331: 19.10 F, 41.70 Humidity, 353 Light
2018-12-12 04:02:42.007645: 19.10 F, 41.70 Humidity, 353 Light
2018-12-12 04:02:44.517494: 19.10 F, 41.80 Humidity, 355 Light
2018-12-12 04:02:47.039186: 19.10 F, 41.80 Humidity, 358 Light
2018-12-12 04:02:49.547262: 19.10 F, 41.80 Humidity, 358 Light
2018-12-12 04:02:50.872054: 19.20 F, 41.70 Humidity, 359 Light
2018-12-12 04:02:53.383192: 19.10 F, 41.60 Humidity, 359 Light
2018-12-12 04:02:55.892539: 19.10 F, 41.60 Humidity, 361 Light
2018-12-12 04:02:58.402108: 19.10 F, 41.60 Humidity, 362 Light
2018-12-12 04:03:00.912660: 19.10 F, 41.60 Humidity, 363 Light
2018-12-12 04:03:02.253968: 19.10 F, 41.60 Humidity, 364 Light
2018-12-12 04:03:04.764194: 19.10 F, 41.60 Humidity, 365 Light
2018-12-12 04:03:07.273794: 19.10 F, 41.60 Humidity, 368 Light
2018-12-12 04:03:09.782601: 19.10 F, 41.60 Humidity, 366 Light
2018-12-12 04:03:12.290756: 19.10 F, 41.60 Humidity, 367 Light
2018-12-12 04:03:13.632268: 19.10 F, 41.60 Humidity, 370 Light
2018-12-12 04:03:16.141902: 19.30 F, 41.80 Humidity, 372 Light
2018-12-12 04:03:18.651438: 19.20 F, 41.70 Humidity, 366 Light
2018-12-12 04:03:21.161488: 19.20 F, 41.70 Humidity, 373 Light
2018-12-12 04:03:23.671286: 19.10 F, 41.60 Humidity, 372 Light
2018-12-12 04:03:25.015623: 19.10 F, 41.60 Humidity, 374 Light
2018-12-12 04:03:27.529109: 19.10 F, 41.70 Humidity, 374 Light
2018-12-12 04:03:30.041156: 19.20 F, 42.00 Humidity, 374 Light
2018-12-12 04:03:32.553451: 19.10 F, 42.00 Humidity, 373 Light
2018-12-12 04:03:35.066889: 19.10 F, 41.90 Humidity, 373 Light
2018-12-12 04:03:36.394275: 19.10 F, 42.00 Humidity, 369 Light
2018-12-12 04:03:38.906156: 19.00 F, 41.90 Humidity, 367 Light
2018-12-12 04:03:41.417936: 19.10 F, 42.10 Humidity, 368 Light
2018-12-12 04:03:43.930097: 19.10 F, 42.10 Humidity, 364 Light
2018-12-12 04:03:46.448869: 19.10 F, 42.20 Humidity, 362 Light
2018-12-12 04:03:47.776469: 19.10 F, 42.20 Humidity, 358 Light
2018-12-12 04:03:50.290875: 19.10 F, 42.20 Humidity, 361 Light
2018-12-12 04:03:52.803427: 19.10 F, 42.20 Humidity, 359 Light
2018-12-12 04:03:55.315498: 19.20 F, 42.30 Humidity, 359 Light
2018-12-12 04:03:57.827651: 19.10 F, 42.20 Humidity, 357 Light
2018-12-12 04:03:59.158536: 19.10 F, 42.10 Humidity, 352 Light
2018-12-12 04:04:01.668546: 19.10 F, 42.10 Humidity, 353 Light
2018-12-12 04:04:04.182060: 19.10 F, 42.00 Humidity, 352 Light
2018-12-12 04:04:06.694448: 19.10 F, 42.00 Humidity, 356 Light
2018-12-12 04:04:09.208175: 19.10 F, 42.00 Humidity, 353 Light
2018-12-12 04:04:10.537895: 19.10 F, 42.10 Humidity, 352 Light
2018-12-12 04:04:13.050701: 19.00 F, 42.10 Humidity, 351 Light
2018-12-12 04:04:15.563733: 19.10 F, 42.20 Humidity, 353 Light
2018-12-12 04:04:18.079906: 19.10 F, 42.20 Humidity, 352 Light
2018-12-12 04:04:20.591058: 19.10 F, 42.20 Humidity, 356 Light
2018-12-12 04:04:21.920155: 19.10 F, 42.20 Humidity, 357 Light
2018-12-12 04:04:24.433466: 19.10 F, 42.10 Humidity, 357 Light
2018-12-12 04:04:26.944349: 19.10 F, 42.10 Humidity, 356 Light
2018-12-12 04:04:29.454958: 19.10 F, 42.10 Humidity, 359 Light
2018-12-12 04:04:31.972449: 19.10 F, 42.10 Humidity, 361 Light
2018-12-12 04:04:33.300618: 19.10 F, 42.20 Humidity, 360 Light
2018-12-12 04:04:35.810661: 19.10 F, 42.20 Humidity, 356 Light
2018-12-12 04:04:38.323324: 19.10 F, 42.20 Humidity, 358 Light
2018-12-12 04:04:40.835060: 19.10 F, 42.20 Humidity, 358 Light
2018-12-12 04:04:43.346988: 19.10 F, 42.20 Humidity, 359 Light
2018-12-12 04:04:44.683607: 19.10 F, 42.20 Humidity, 362 Light
2018-12-12 04:04:47.196149: 19.20 F, 42.30 Humidity, 367 Light
2018-12-12 04:04:49.708405: 19.10 F, 42.10 Humidity, 369 Light
2018-12-12 04:04:52.220246: 19.10 F, 42.10 Humidity, 371 Light
2018-12-12 04:04:54.730946: 19.10 F, 42.10 Humidity, 371 Light
2018-12-12 04:04:56.062081: 19.10 F, 42.10 Humidity, 374 Light
2018-12-12 04:04:58.571953: 19.10 F, 42.10 Humidity, 371 Light
2018-12-12 04:05:01.083754: 19.00 F, 42.00 Humidity, 371 Light
2018-12-12 04:05:03.596573: 19.10 F, 42.10 Humidity, 371 Light
2018-12-12 04:05:06.108797: 19.10 F, 42.10 Humidity, 368 Light
2018-12-12 04:05:07.445149: 19.10 F, 42.10 Humidity, 368 Light
2018-12-12 04:05:09.955546: 19.10 F, 42.20 Humidity, 365 Light
2018-12-12 04:05:12.465454: 19.10 F, 42.10 Humidity, 363 Light
2018-12-12 04:05:14.976104: 19.10 F, 42.10 Humidity, 363 Light
2018-12-12 04:05:17.488073: 19.10 F, 42.10 Humidity, 358 Light
2018-12-12 04:05:18.826812: 19.10 F, 42.10 Humidity, 357 Light
2018-12-12 04:05:21.338565: 19.10 F, 42.00 Humidity, 355 Light
2018-12-12 04:05:23.849177: 19.10 F, 42.00 Humidity, 353 Light
2018-12-12 04:05:26.358148: 19.20 F, 42.10 Humidity, 352 Light
2018-12-12 04:05:28.869697: 19.10 F, 42.10 Humidity, 345 Light
2018-12-12 04:05:30.208358: 19.10 F, 42.20 Humidity, 354 Light
2018-12-12 04:05:32.720038: 19.10 F, 42.20 Humidity, 355 Light
2018-12-12 04:05:35.229823: 19.00 F, 42.10 Humidity, 356 Light
2018-12-12 04:05:37.741340: 19.10 F, 42.30 Humidity, 362 Light
2018-12-12 04:05:40.252014: 19.10 F, 42.30 Humidity, 368 Light
2018-12-12 04:05:41.587030: 19.10 F, 42.20 Humidity, 369 Light
2018-12-12 04:05:44.098872: 19.10 F, 42.20 Humidity, 375 Light
2018-12-12 04:05:46.611671: 19.10 F, 42.20 Humidity, 369 Light
2018-12-12 04:05:49.122325: 19.10 F, 42.20 Humidity, 366 Light
2018-12-12 04:05:51.633959: 19.00 F, 42.10 Humidity, 362 Light
2018-12-12 04:05:52.969967: 19.10 F, 42.20 Humidity, 358 Light
2018-12-12 04:05:55.481870: 19.10 F, 42.20 Humidity, 356 Light
2018-12-12 04:05:57.993852: 19.10 F, 42.20 Humidity, 349 Light
2018-12-12 04:06:00.503849: 19.10 F, 42.20 Humidity, 353 Light
2018-12-12 04:06:03.013502: 19.10 F, 42.20 Humidity, 355 Light
2018-12-12 04:06:04.352248: 19.10 F, 42.30 Humidity, 361 Light
2018-12-12 04:06:06.863190: 19.10 F, 42.30 Humidity, 363 Light
2018-12-12 04:06:09.372597: 19.10 F, 42.20 Humidity, 370 Light
2018-12-12 04:06:11.884197: 19.10 F, 42.20 Humidity, 368 Light
2018-12-12 04:06:14.394779: 19.10 F, 42.20 Humidity, 369 Light
2018-12-12 04:06:15.734073: 19.10 F, 42.10 Humidity, 368 Light
2018-12-12 04:06:18.246029: 19.10 F, 42.20 Humidity, 363 Light
2018-12-12 04:06:20.758376: 19.10 F, 42.10 Humidity, 356 Light
2018-12-12 04:06:23.270811: 19.10 F, 42.10 Humidity, 348 Light
2018-12-12 04:06:25.783804: 19.10 F, 42.20 Humidity, 353 Light
2018-12-12 04:06:27.111900: 19.10 F, 42.20 Humidity, 352 Light
2018-12-12 04:06:29.624412: 19.10 F, 42.10 Humidity, 358 Light
2018-12-12 04:06:32.136851: 19.10 F, 42.10 Humidity, 367 Light
2018-12-12 04:06:34.647006: 19.10 F, 42.20 Humidity, 371 Light
2018-12-12 04:06:37.158283: 19.10 F, 42.10 Humidity, 364 Light
2018-12-12 04:06:38.494975: 19.10 F, 42.10 Humidity, 352 Light
2018-12-12 04:06:41.007977: 19.10 F, 42.20 Humidity, 352 Light
2018-12-12 04:06:43.519433: 19.10 F, 42.30 Humidity, 356 Light
2018-12-12 04:06:46.031932: 19.10 F, 42.20 Humidity, 365 Light
2018-12-12 04:06:48.542208: 19.10 F, 42.10 Humidity, 370 Light
2018-12-12 04:06:49.876961: 19.10 F, 42.10 Humidity, 364 Light
2018-12-12 04:06:52.388755: 19.00 F, 42.00 Humidity, 357 Light
2018-12-12 04:06:54.903222: 19.00 F, 42.00 Humidity, 354 Light
2018-12-12 04:06:57.418996: 19.10 F, 42.20 Humidity, 355 Light
2018-12-12 04:06:59.928212: 19.10 F, 42.20 Humidity, 361 Light
2018-12-12 04:07:01.259687: 19.10 F, 42.20 Humidity, 366 Light
2018-12-12 04:07:03.769339: 19.10 F, 42.20 Humidity, 369 Light
2018-12-12 04:07:06.279673: 19.10 F, 42.20 Humidity, 368 Light
2018-12-12 04:07:08.792443: 19.10 F, 42.20 Humidity, 362 Light
2018-12-12 04:07:11.302800: 19.10 F, 42.20 Humidity, 354 Light
2018-12-12 04:07:12.641300: 19.10 F, 42.20 Humidity, 353 Light
2018-12-12 04:07:15.153645: 19.10 F, 42.20 Humidity, 352 Light
2018-12-12 04:07:17.663899: 19.00 F, 42.10 Humidity, 354 Light
2018-12-12 04:07:20.175539: 19.10 F, 42.30 Humidity, 357 Light
2018-12-12 04:07:22.697286: 19.10 F, 42.30 Humidity, 359 Light
2018-12-12 04:07:24.018040: 19.10 F, 42.30 Humidity, 367 Light
2018-12-12 04:07:26.526646: 19.10 F, 42.30 Humidity, 371 Light
2018-12-12 04:07:29.035917: 19.10 F, 42.30 Humidity, 369 Light
2018-12-12 04:07:31.545596: 19.10 F, 42.30 Humidity, 366 Light
2018-12-12 04:07:34.054830: 19.10 F, 42.30 Humidity, 361 Light
2018-12-12 04:07:35.400638: 19.10 F, 42.20 Humidity, 353 Light
2018-12-12 04:07:37.910307: 19.10 F, 42.10 Humidity, 351 Light
2018-12-12 04:07:40.418865: 19.00 F, 41.60 Humidity, 349 Light
